N1,N2,Ts,alpha1*,alpha2*,alpha*,gamI-Day1,gamI-Day2,gamI-Day3,gamI-Day4,gamI-Day5,gamI-Day6,gamI-Day7,gamI-Day8,gamI-Day9,gamI-Day10,gamI-Day11,gamI-Day12,gamI-Day13,gamI-Day14
1689391,1030293,3144.754088,0,1,2,"[6.285714286, 5.428571429]","[6.91168041, 7.366921398]","[7.654417295, 9.808166867]","[8.541207942, 12.87739027]","[9.606003412, 16.73054449]","[10.89106318, 21.56204384]","[12.44899852, 27.61421117]","[14.3453171, 35.18902763]","[16.66159078, 44.66273753]","[19.49939786, 56.50398812]","[22.98522661, 71.29633601]","[27.27657057, 89.76613628]","[32.56949966, 112.817047]","[39.10805515, 141.5726323]"
655328,1581292,2885.958493,1,0,1,"[3.571428571, 0.857142857]","[3.924649918, 1.146959062]","[4.331707481, 1.455961676]","[4.798499707, 1.78822927]","[5.331752794, 2.148195814]","[5.93911668, 2.540710562]","[6.629273779, 2.971103972]","[7.412062121, 3.44526066]","[8.29861438, 3.969700227]","[9.301514929, 4.551667207]","[10.43497703, 5.199231319]","[11.71504245, 5.921399325]","[13.15980632, 6.728240071]","[14.78967038, 7.631024481]"
1160439,627912,1141.496972,0,1,2,"[0.285714286, 0.285714286]","[0.313443578, 0.321194238]","[0.344494804, 0.360659484]","[0.379244339, 0.404568893]","[0.418111797, 0.453433836]","[0.46156498, 0.507824192]","[0.510125392, 0.568375058]","[0.564374388, 0.635794215]","[0.624960027, 0.710870456]","[0.692604705, 0.794482865]","[0.768113664, 0.887611149]","[0.852384482, 0.991347171]","[0.946417638, 1.106907783]","[1.051328292, 1.235649143]"
1609268,1000542,3897.313865,1,0,1,"[0.857142857, 6.571428571]","[1.428286354, 6.343846185]","[2.019493839, 6.13981563]","[2.633937966, 5.958964569]","[3.274972393, 5.801017532]","[3.946151305, 5.665796949]","[4.651250322, 5.553224654]","[5.394288897, 5.463323881]","[6.179554335, 5.396221755]","[7.011627597, 5.352152328]","[7.895411022, 5.331460163]","[8.836158159, 5.334604499]","[9.83950587, 5.362164041]","[10.91150891, 5.414842401]"
860702,1308580,1039.175465,0,1,2,"[3.0, 2.0]","[3.035862121, 2.355598759]","[3.091565506, 2.745297498]","[3.168568658, 3.173325373]","[3.268538035, 3.64437719]","[3.393369645, 4.163667382]","[3.545213226, 4.736990131]","[3.726499265, 5.370786234]","[3.939969203, 6.072217564]","[4.188709154, 6.849249938]","[4.476187561, 7.710745388]","[4.806297217, 8.666564863]","[5.183402124, 9.72768255]","[5.612389753, 10.90631312]"
1576880,908549,2586.493139,0,1,2,"[3.428571429, 4.714285714]","[3.73990026, 5.322723503]","[4.09506753, 6.00212079]","[4.498974761, 6.761182196]","[4.957137771, 7.609651587]","[5.475759173, 8.558437594]","[6.06180961, 9.619754046]","[6.723118799, 10.80727711]","[7.468477605, 12.13632127]","[8.307752384, 13.62403622]","[9.252013022, 15.28962711]","[10.31367634, 17.15460098]","[11.50666665, 19.24304234]","[12.84659551, 21.58192148]"
1303131,1634586,3937.067385,1,0,1,"[7.142857143, 6.142857143]","[8.434005341, 6.503725581]","[9.907081868, 6.915680694]","[11.58772317, 7.385924082]","[13.505174, 7.922671839]","[15.69279392, 8.535297235]","[18.1886346, 9.234493431]","[21.03609743, 10.03245894]","[24.28468311, 10.94310913]","[27.99084444, 11.98231714]","[32.21895838, 13.16818861]","[37.04243182, 14.5213746]","[42.54495933, 16.06542794]","[48.82195497, 17.82720936]"
1255691,1235122,3400.158829,1,0,1,"[3.0, 2.142857143]","[3.700913052, 2.339904885]","[4.554584834, 2.585840664]","[5.594517306, 2.891262689]","[6.861552568, 3.269094296]","[8.405479788, 3.735093173]","[10.28699327, 4.308471985]","[12.5800781, 5.012654697]","[15.37491618, 5.876198168]","[18.78142551, 6.933914971]","[22.93356977, 8.228241169]","[27.99460398, 9.810902128]","[34.16345761, 11.74494085]","[41.68249805, 14.10718697]"
1055949,792746,846.0998198,1,0,1,"[8.285714286, 1.857142857]","[8.773588322, 2.239838014]","[9.304862938, 2.635820117]","[9.882280346, 3.046971873]","[10.50881157, 3.475259496]","[11.18767154, 3.922742143]","[11.92233532, 4.391581837]","[12.71655569, 4.884053914]","[13.57438199, 5.402558048]","[14.50018052, 5.949629918]","[15.49865632, 6.527953547]","[16.57487677, 7.140374396]","[17.7342969, 7.789913292]","[18.98278648, 8.479781162]"
1589616,1755845,1588.986288,1,0,1,"[5.714285714, 2.714285714]","[6.159076531, 3.129738199]","[6.654418553, 3.57522255]","[7.204714057, 4.054344982]","[7.814825691, 4.571014414]","[8.490118723, 5.129474927]","[9.236507554, 5.734341144]","[10.06050683, 6.39063683]","[10.96928763, 7.103837028]","[11.97073919, 7.879914085]","[13.07353669, 8.725387946]","[14.28721559, 9.64738114]","[15.62225334, 10.65367892]","[17.09015889, 11.75279503]"
1680303,1039653,2013.999215,1,0,1,"[4.428571429, 2.714285714]","[4.759497242, 3.036023867]","[5.122558441, 3.389848499]","[5.520927389, 3.778931459]","[5.958089745, 4.206757794]","[6.437875357, 4.677156613]","[6.964492208, 5.194335003]","[7.542563703, 5.762915275]","[8.177169617, 6.387975858]","[8.873891071, 7.075096221]","[9.638859916, 7.830406181]","[10.47881298, 8.660640049]","[11.40115159, 9.573196073]","[12.41400702, 10.57620169]"
1440540,1698277,3786.598586,0,1,2,"[6.571428571, 4.857142857]","[6.695400637, 6.285521522]","[6.918763911, 7.936949686]","[7.254251654, 9.85496091]","[7.717313531, 12.09085459]","[8.326584393, 14.70512766]","[9.104440471, 17.76916601]","[10.07765869, 21.36724246]","[11.27819766, 25.59887683]","[12.74412236, 30.58162366]","[14.52069798, 36.45436351]","[16.66168354, 43.38118825]","[19.23086105, 51.55598696]","[22.30384192, 61.20785516]"
1174839,837431,1180.12463,1,0,1,"[4.571428571, 0.714285714]","[4.770106152, 0.987295493]","[4.982861863, 1.26004055]","[5.210251297, 1.533484727]","[5.452873843, 1.80858103]","[5.711374172, 2.086275117]","[5.986443873, 2.367508719]","[6.278823232, 2.653223028]","[6.589303128, 2.944361945]","[6.918727106, 3.241875392]","[7.267993623, 3.546722584]","[7.638058361, 3.85987516]","[8.029936851, 4.182320541]","[8.444707122, 4.515065058]"
