N1,N2,Ts,alpha1*,alpha2*,alpha*,gamI-Day1,gamI-Day2,gamI-Day3,gamI-Day4,gamI-Day5,gamI-Day6,gamI-Day7,gamI-Day8,gamI-Day9,gamI-Day10,gamI-Day11,gamI-Day12,gamI-Day13,gamI-Day14
674961,663411,1182.425888,1,0,1,"[6.714285714, 7.714285714]","[7.096373174, 7.592367534]","[7.47638517, 7.482722643]","[7.854823157, 7.384886511]","[8.23217286, 7.298421115]","[8.608905291, 7.222913677]","[8.985477646, 7.157975549]","[9.36233428, 7.103241004]","[9.739907481, 7.058366284]","[10.11861839, 7.023028482]","[10.49887769, 6.996924709]","[10.88108647, 6.979771052]","[11.26563682, 6.971301887]","[11.65291265, 6.971268865]"
1418113,1121128,433.4441403,0,1,2,"[6.0, 5.0]","[6.924780463, 6.032457536]","[8.006256116, 7.252552926]","[9.271657253, 8.693450911]","[10.75297349, 10.39413534]","[12.48778571, 12.40042679]","[14.52024308, 14.7661773]","[16.90221014, 17.55467291]","[19.69461365, 20.84027982]","[22.96902325, 24.71037577]","[26.80950604, 29.26761519]","[31.31480281, 34.6325857]","[36.60087967, 40.94692127]","[42.80391888, 48.3769484]"
979684,1540970,798.7032836,1,0,1,"[6.571428571, 7.142857143]","[7.510917266, 7.838725069]","[8.572802903, 8.624232735]","[9.772983972, 9.511023653]","[11.12942125, 10.5122527]","[12.6624044, 11.64278179]","[14.39485314, 12.91940103]","[16.35265689, 14.36107815]","[18.56505775, 15.98924004]","[21.065083, 17.82809067]","[23.89003229, 19.90496966]","[27.08202694, 22.25075663]","[30.68862903, 24.90032743]","[34.76353905, 27.89306867]"
1020549,1597894,1778.72473,1,0,1,"[3.857142857, 0.285714286]","[4.295595989, 0.538537652]","[4.798128834, 0.822719596]","[5.373742686, 1.142776291]","[6.032709719, 1.503859499]","[6.786752082, 1.911846242]","[7.649246137, 2.373441098]","[8.635455433, 2.896292899]","[9.762796399, 3.489127863]","[11.0511412, 4.161901382]","[12.52316321, 4.925971241]","[14.2047307, 5.794295041]","[16.12535558, 6.781655391]","[18.31870498, 7.904916707]"
746437,1781495,1503.445899,0,1,2,"[3.285714286, 2.142857143]","[3.36530771, 2.438361624]","[3.453098618, 2.755378827]","[3.549701508, 3.095598186]","[3.655778891, 3.46084023]","[3.772045008, 3.853066752]","[3.899269848, 4.27439178]","[4.038283471, 4.72709339]","[4.189980658, 5.213626425]","[4.355325936, 5.736636211]","[4.535358977, 6.298973321]","[4.731200423, 6.903709486]","[4.944058159, 7.554154741]","[5.175234079, 8.253875905]"
1164512,762755,241.2360573,1,0,1,"[5.0, 4.714285714]","[5.5076198, 4.712278913]","[6.040732433, 4.737877431]","[6.60211669, 4.790863808]","[7.19467933, 4.871183537]","[7.821470295, 4.97894254]","[8.485698532, 5.114405622]","[9.190748523, 5.277995858]","[9.940197597, 5.470294914]","[10.73783411, 5.692044275]","[11.5876766, 5.944147383]","[12.49399403, 6.227672693]","[13.46132714, 6.543857627]","[14.49451101, 6.894113445]"
1391049,1200804,1974.141839,1,0,1,"[5.428571429, 8.142857143]","[5.692258081, 8.110766004]","[5.946291744, 8.101248536]","[6.192148819, 8.11226966]","[6.431154248, 8.142025435]","[6.664498215, 8.188918086]","[6.893251044, 8.251533753]","[7.118376479, 8.328622648]","[7.340743523, 8.419081401]","[7.561136953, 8.521937367]","[7.780266733, 8.63633461]","[7.998776453, 8.761521339]","[8.217250768, 8.896838846]","[8.43622198, 9.041711735]"
642903,881597,528.3341057,0,1,2,"[6.571428571, 1.857142857]","[7.55550694, 2.526007674]","[8.702534971, 3.380409147]","[10.04246839, 4.467400421]","[11.61128091, 5.845507012]","[13.4522513, 7.58746922]","[15.6175363, 9.783632354]","[18.17009369, 12.54613569]","[21.18603469, 16.01408631]","[24.75750252, 20.35994592]","[28.99619538, 25.79741029]","[34.03767843, 32.59112318]","[40.04666116, 41.06864195]","[47.22345421, 51.63516195]"
1657189,1662201,806.5700887,0,1,2,"[4.571428571, 2.714285714]","[4.57030431, 2.957370719]","[4.574529827, 3.213210966]","[4.584314042, 3.482594149]","[4.599880378, 3.766353894]","[4.621467581, 4.065372487]","[4.649330581, 4.38058377]","[4.683741407, 4.71297618]","[4.724990154, 5.063595971]","[4.77338602, 5.433550677]","[4.829258389, 5.82401271]","[4.892957976, 6.23622316]","[4.964858075, 6.671495953]","[5.045355828, 7.131222046]"
1270953,726226,1333.159966,1,0,1,"[2.428571429, 7.571428571]","[2.846219611, 7.677320332]","[3.285917794, 7.800641486]","[3.749321609, 7.942319248]","[4.238194982, 8.103350088]","[4.754417558, 8.284804249]","[5.299992617, 8.487830587]","[5.877055516, 8.713661716]","[6.487882697, 8.963619519]","[7.13490129, 9.239121023]","[7.820699388, 9.541684689]","[8.548036987, 9.872937112]","[9.319857608, 10.23462015]","[10.13930073, 10.62859853]"
